BBL_ID,BuildingArea,LandUse,LotArea,NumFloors,ResidentialUnits,TotalUnits,YearBuilt
3091800050,,,,,,,
1005060027,172836,3,16342,16.0000000,175,181,1966
1011960052,56949,3,10217,8.0000000,66,66,1911
3025120038,5625,2,2500,4.0000000,5,5,2017
1012240023,107243,3,13900,10.0000000,90,90,1926
3007580048,13096,2,4508,5.0000000,16,16,1930
3009220017,16896,2,6010,4.0000000,24,24,1928
3007390030,13752,2,5074,4.0000000,16,16,1913
3009170058,27614,2,10017,4.0000000,40,40,1927
3009170048,33528,2,12521,4.0000000,40,40,1927
3052680089,18240,2,5103,4.0000000,16,16,1931
3011130055,4400,4,1957,3.0000000,2,3,1934
1022400001,43195,2,12501,5.0000000,41,41,1918
1022480112,20620,4,5200,7.0000000,26,27,2023
1022480109,23418,3,4625,6.0000000,32,32,1937
